"email_id","subject_length","send_time","day_of_week","customer_segment","previous_opens","opened"
1,50,"evening","Thu","churn",0,"No"
2,34,"evening","Wed","loyal",1,"No"
3,70,"afternoon","Mon","new",1,"Yes"
4,33,"afternoon","Tue","churn",3,"No"
5,22,"morning","Fri","churn",10,"No"
6,61,"morning","Mon","churn",8,"Yes"
7,69,"evening","Thu","new",0,"Yes"
8,73,"afternoon","Tue","churn",0,"No"
9,62,"morning","Tue","new",3,"No"
10,56,"afternoon","Tue","loyal",9,"Yes"
11,71,"afternoon","Wed","churn",2,"No"
12,33,"afternoon","Tue","loyal",3,"No"
13,73,"morning","Fri","new",0,"Yes"
14,44,"evening","Mon","loyal",6,"Yes"
15,45,"evening","Mon","churn",1,"No"
16,46,"afternoon","Tue","loyal",3,"No"
17,24,"afternoon","Wed","churn",9,"No"
18,70,"afternoon","Thu","churn",5,"Yes"
19,46,"morning","Tue","loyal",4,"Yes"
20,76,"evening","Thu","new",2,"Yes"
21,47,"morning","Thu","churn",2,"Yes"
22,76,"afternoon","Mon","new",1,"No"
23,28,"evening","Wed","loyal",7,"No"
24,48,"morning","Wed","loyal",3,"Yes"
25,54,"morning","Thu","churn",9,"Yes"
26,27,"afternoon","Tue","new",9,"Yes"
27,45,"evening","Tue","churn",8,"Yes"
28,26,"morning","Mon","new",6,"Yes"
29,61,"afternoon","Tue","churn",4,"No"
30,28,"morning","Mon","churn",2,"Yes"
31,38,"morning","Wed","churn",4,"No"
32,55,"evening","Tue","loyal",5,"No"
33,33,"evening","Wed","loyal",3,"No"
34,36,"evening","Mon","churn",2,"Yes"
35,62,"evening","Mon","churn",6,"No"
36,58,"evening","Mon","new",8,"Yes"
37,72,"afternoon","Fri","new",7,"No"
38,31,"evening","Mon","loyal",5,"No"
39,34,"afternoon","Mon","churn",1,"No"
40,51,"evening","Thu","churn",10,"Yes"
41,61,"afternoon","Wed","loyal",7,"Yes"
42,64,"evening","Tue","churn",3,"Yes"
43,26,"afternoon","Tue","churn",1,"No"
44,28,"afternoon","Thu","new",1,"No"
45,60,"evening","Mon","churn",5,"No"
46,29,"afternoon","Mon","loyal",2,"Yes"
47,42,"morning","Thu","loyal",9,"Yes"
48,46,"evening","Mon","new",2,"No"
49,79,"morning","Mon","churn",1,"Yes"
50,72,"evening","Fri","churn",5,"No"
51,26,"afternoon","Mon","new",4,"No"
52,72,"morning","Tue","churn",10,"Yes"
53,46,"morning","Wed","loyal",1,"No"
54,51,"evening","Fri","loyal",6,"No"
55,57,"morning","Wed","loyal",10,"Yes"
56,44,"afternoon","Mon","new",7,"No"
57,53,"evening","Tue","churn",4,"No"
58,48,"evening","Fri","new",9,"Yes"
59,24,"afternoon","Wed","new",4,"No"
60,27,"afternoon","Mon","new",0,"Yes"
61,31,"afternoon","Tue","new",8,"No"
62,32,"evening","Tue","new",6,"No"
63,37,"evening","Thu","loyal",2,"No"
64,52,"evening","Thu","churn",9,"Yes"
65,76,"afternoon","Wed","new",0,"Yes"
66,46,"morning","Thu","loyal",0,"Yes"
